x,y,y_err
-10.00000,-25.30753,-2.53075
-9.16667,-18.98403,-1.89840
-8.33333,-17.21532,-1.72153
-7.50000,-10.12034,-1.01203
-6.66667,-7.44558,-0.74456
-5.83333,-4.36283,-0.43628
-5.00000,0.00000,0.00000
-4.16667,3.34589,0.33459
-3.33333,8.46452,0.84645
-2.50000,11.85248,1.18525
-1.66667,15.21689,1.52169
-0.83333,23.43086,2.34309
0.00000,28.17866,2.81787
0.83333,26.06997,2.60700
1.66667,35.27150,3.52715
2.50000,33.77303,3.37730
3.33333,44.01842,4.40184
4.16667,42.92880,4.29288
5.00000,53.98996,5.39900
5.83333,49.88932,4.98893
6.66667,58.23804,5.82380
7.50000,67.46725,6.74672
8.33333,67.23223,6.72322
9.16667,72.74857,7.27486
10.00000,77.43670,7.74367
