x,y,y_err
100.00000,10292.68423,514.63421
104.16667,10466.23781,523.31189
108.33333,11546.14189,577.30709
112.50000,12763.29505,638.16475
116.66667,11789.70519,589.48526
120.83333,14500.32900,725.01645
125.00000,14861.35361,743.06768
129.16667,16418.88871,820.94444
133.33333,17246.00473,862.30024
137.50000,19350.17462,967.50873
141.66667,17467.99414,873.39971
145.83333,21462.78814,1073.13941
150.00000,23398.86950,1169.94348
154.16667,23152.98161,1157.64908
158.33333,25892.18281,1294.60914
162.50000,23714.74052,1185.73703
166.66667,30299.40194,1514.97010
170.83333,29571.10080,1478.55504
175.00000,30220.57631,1511.02882
179.16667,29726.72878,1486.33644
183.33333,34197.82433,1709.89122
187.50000,35326.33956,1766.31698
191.66667,38332.61723,1916.63086
195.83333,38034.61269,1901.73063
200.00000,39746.43215,1987.32161
