x, y, y_err
0.00000, 25.95388, 2.59539
0.83333, 33.52225, 3.35223
1.66667, 52.75722, 5.27572
2.50000, 81.18058, 8.11806
3.33333, 81.73147, 8.17315
4.16667, 148.86022, 14.88602
5.00000, 177.43120, 17.74312
5.83333, 241.58328, 24.15833
6.66667, 290.57716, 29.05772
7.50000, 393.51905, 39.35191
8.33333, 331.89663, 33.18966
9.16667, 539.29208, 53.92921
10.00000, 666.32834, 66.63283
10.83333, 673.86593, 67.38659
11.66667, 865.53072, 86.55307
12.50000, 731.18065, 73.11806
13.33333, 1223.72699, 122.37270
14.16667, 1187.37831, 118.73783
15.00000, 1251.08761, 125.10876
15.83333, 1209.52114, 120.95211
16.66667, 1618.28746, 161.82875
17.50000, 1729.54436, 172.95444
18.33333, 2032.60648, 203.26065
19.16667, 1998.93017, 199.89302
20.00000, 2174.79162, 217.47916
